sample	tissue	type	sample_type
GTEX-QMRM-0005-SM-2S1QR	DLBC	DLBC_normal_GTEx	normal
GTEX-U3ZG-0001-SM-47JYF	DLBC	DLBC_normal_GTEx	normal
GTEX-YB5E-0001-SM-4VDSV	DLBC	DLBC_normal_GTEx	normal
GTEX-YEC4-0001-SM-4W1Y6	DLBC	DLBC_normal_GTEx	normal
GTEX-XUJ4-0004-SM-4BOQE	DLBC	DLBC_normal_GTEx	normal
GTEX-13CZV-0006-SM-5P9IN	DLBC	DLBC_normal_GTEx	normal
GTEX-W5X1-0001-SM-3P61V	DLBC	DLBC_normal_GTEx	normal
GTEX-12WSA-0005-SM-5O9BM	DLBC	DLBC_normal_GTEx	normal
GTEX-XPT6-0001-SM-4B64G	DLBC	DLBC_normal_GTEx	normal
GTEX-11O72-0006-SM-5O9DB	DLBC	DLBC_normal_GTEx	normal
GTEX-XQ3S-0006-SM-4BOQ4	DLBC	DLBC_normal_GTEx	normal
GTEX-W5X1-0006-SM-3GIJZ	DLBC	DLBC_normal_GTEx	normal
GTEX-RWS6-0001-SM-3NMAL	DLBC	DLBC_normal_GTEx	normal
GTEX-WK11-0006-SM-3NB3J	DLBC	DLBC_normal_GTEx	normal
GTEX-139UW-0005-SM-5NQ8U	DLBC	DLBC_normal_GTEx	normal
GTEX-OIZG-0005-SM-2HMJC	DLBC	DLBC_normal_GTEx	normal
GTEX-NL4W-0006-SM-2I3GH	DLBC	DLBC_normal_GTEx	normal
GTEX-WYBS-0005-SM-4ONDR	DLBC	DLBC_normal_GTEx	normal
GTEX-XYKS-0002-SM-4BRWN	DLBC	DLBC_normal_GTEx	normal
GTEX-QMRM-0005-SM-3NB2A	DLBC	DLBC_normal_GTEx	normal
GTEX-WFON-0001-SM-5S2SE	DLBC	DLBC_normal_GTEx	normal
GTEX-14AS3-0006-SM-5NQC2	DLBC	DLBC_normal_GTEx	normal
GTEX-139UC-0005-SM-5PNU7	DLBC	DLBC_normal_GTEx	normal
GTEX-ZVTK-0003-SM-51MRV	DLBC	DLBC_normal_GTEx	normal
GTEX-13U4I-0006-SM-5N9CI	DLBC	DLBC_normal_GTEx	normal
GTEX-131XW-0006-SM-5O9AO	DLBC	DLBC_normal_GTEx	normal
GTEX-11DXZ-0006-SM-5LZZH	DLBC	DLBC_normal_GTEx	normal
GTEX-ZV7C-0003-SM-4YCF6	DLBC	DLBC_normal_GTEx	normal
GTEX-XPT6-0006-SM-4B66Q	DLBC	DLBC_normal_GTEx	normal
GTEX-14E6E-0006-SM-5MR5N	DLBC	DLBC_normal_GTEx	normal
GTEX-ZV7C-0005-SM-57WDL	DLBC	DLBC_normal_GTEx	normal
